Area Code,Area Name,SOC Code,SOC Title,Employment ,Median,,Mean,,Entry Level,,10th Percentile,,90th Percentile,
000009,Connecticut,13-1071,Human Resources Specialists,"8,380",34.88,"72,552",36.7,"76,346",22.77,"47,362",20.45,"42,538",55.58,"115,621"
000009,Connecticut,13-1032,"Insurance Appraisers, Auto Damage",60,40.07,"83,342",40.78,"84,831",38.95,"81,017",39.13,"81,384",45.02,"93,633"
000009,Connecticut,13-2053,Insurance Underwriters,"2,520",40.65,"84,556",47.81,"99,436",30.49,"63,425",29.81,"62,007",74.79,"155,558"
000009,Connecticut,13-1075,Labor Relations Specialists,"1,120",42.74,"88,891",47.33,"98,457",27.65,"57,499",25.22,"52,451",84.47,"175,701"
000009,Connecticut,13-2072,Loan Officers,"2,770",32.09,"66,749",38.01,"79,059",23.07,"47,984",22.35,"46,485",65.45,"136,151"
000009,Connecticut,13-1081,Logisticians,"1,600",37.06,"77,101",38.77,"80,660",27.52,"57,234",25.58,"53,206",53.02,"110,287"
000009,Connecticut,13-1111,Management Analysts,"9,510",49.02,"101,975",51.8,"107,748",32.52,"67,657",29.9,"62,201",80.06,"166,512"
000009,Connecticut,13-1161,Market Research Analysts and Marketing Specialists,"8,190",32.69,"67,983",35.93,"74,735",21.25,"44,200",18.38,"38,234",56.89,"118,324"
000009,Connecticut,13-1121,"Meeting, Convention, and Event Planners","1,370",25.48,"52,981",28.08,"58,397",18.67,"38,846",18.07,"37,582",40.59,"84,434"
000009,Connecticut,13-2052,Personal Financial Advisors,"3,520",51,"106,085",71.69,"149,113",30.58,"63,598",25.33,"52,696",>115.00,">239,200"
000009,Connecticut,13-1082,Project Management Specialists,"7,240",49.08,"102,067",50.4,"104,841",31.99,"66,546",29.41,"61,181",75.81,"157,669"
000009,Connecticut,13-2020,Property Appraisers and Assessors,510,38.42,"79,906",42.03,"87,412",25.97,"54,001",22.75,"47,321",61.75,"128,440"
000009,Connecticut,13-2081,"Tax Examiners and Collectors, and Revenue Agents",890,40.96,"85,188",41.64,"86,616",27.98,"58,203",23.4,"48,647",58.03,"120,700"
000009,Connecticut,13-2082,Tax Preparers,610,20.02,"41,630",21.5,"44,721",16.67,"34,675",16.32,"33,941",29.74,"61,854"
000009,Connecticut,13-1151,Training and Development Specialists,"3,480",36.77,"76,479",38.23,"79,528",22.73,"47,291",20.97,"43,619",59.26,"123,260"
000009,Connecticut,15-0000,Computer and Mathematical Occupations,"48,730",50.29,"104,602",51.96,"108,080",31.06,"64,611",27.21,"56,595",79.88,"166,150"
000009,Connecticut,15-2011,Actuaries,"1,220",68.02,"141,476",73.26,"152,380",46.98,"97,706",42.49,"88,381",108.46,"225,611"
000009,Connecticut,15-1221,Computer and Information Research Scientists,60,57.98,"120,583",62.86,"130,749",48.06,"99,970",46.18,"96,055",84.67,"176,108"
000009,Connecticut,15-1241,Computer Network Architects,"1,760",61.73,"128,413",62.77,"130,563",47.85,"99,534",45.33,"94,290",86.93,"180,802"
000009,Connecticut,15-1231,Computer Network Support Specialists,420,47.87,"99,565",48.51,"100,884",36.38,"75,671",34.53,"71,818",63.47,"132,027"
000009,Connecticut,15-1299,"Computer Occupations, All Other",850,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
000009,Connecticut,15-1251,Computer Programmers,"2,490",46.53,"96,782",46.58,"96,907",31.99,"66,543",29.7,"61,777",62.09,"129,150"
000009,Connecticut,15-1211,Computer Systems Analysts,"6,430",50.61,"105,266",53.07,"110,386",36.84,"76,637",34.19,"71,112",70.09,"145,796"
000009,Connecticut,15-1232,Computer User Support Specialists,"9,140",31.41,"65,338",33.06,"68,765",21.96,"45,681",19.76,"41,091",47.88,"99,586"
000009,Connecticut,15-2051,Data Scientists,950,52.77,"109,763",55.03,"114,456",30.68,"63,812",26.12,"54,321",83.76,"174,208"
000009,Connecticut,15-1242,Database Administrators,890,54.73,"113,823",57.36,"119,327",35.07,"72,929",30.98,"64,435",81.28,"169,047"
000009,Connecticut,15-1243,Database Architects,640,65.24,"135,703",63.44,"131,944",43.32,"90,115",37.08,"77,135",85.39,"177,624"
000009,Connecticut,15-1212,Information Security Analysts,"1,450",59.54,"123,854",61.56,"128,049",47.16,"98,080",42.04,"87,426",81.35,"169,223"
000009,Connecticut,15-2099,"Mathematical Science Occupations, All Other",40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
000009,Connecticut,15-1244,Network and Computer Systems Administrators,"1,880",52.3,"108,776",52.94,"110,105",35.94,"74,757",33.42,"69,513",72.98,"151,788"
000009,Connecticut,15-2031,Operations Research Analysts,910,45.81,"95,287",48.96,"101,839",29.48,"61,309",25.84,"53,739",68.12,"141,695"
000009,Connecticut,15-1252,Software Developers,"16,200",55.13,"114,664",60,"124,799",40.29,"83,802",36.94,"76,834",85.52,"177,874"
000009,Connecticut,15-1253,Software Quality Assurance Analysts and Testers,"1,200",43.05,"89,565",43.52,"90,531",27.8,"57,820",25.21,"52,451",61.69,"128,309"
000009,Connecticut,15-2041,Statisticians,500,54.62,"113,615",64.22,"133,574",37.64,"78,298",38.24,"79,523",>115.00,">239,200"
000009,Connecticut,15-1255,Web and Digital Interface Designers,990,31.4,"65,318",35.13,"73,064",24.17,"50,281",23.76,"49,419",49.25,"102,452"
000009,Connecticut,15-1254,Web Developers,710,43.14,"89,721",46.36,"96,419",29.06,"60,427",26.11,"54,289",68.13,"141,705"
000009,Connecticut,17-0000,Architecture and Engineering Occupations,"33,470",47.44,"98,672",48.94,"101,787",31.74,"66,034",29.44,"61,226",69.09,"143,699"
000009,Connecticut,17-3021,Aerospace Engineering and Operations Technologists and Technicians,100,31.54,"65,588",29.67,"61,714",22.98,"47,799",19.55,"40,665",38.21,"79,482"
000009,Connecticut,17-2011,Aerospace Engineers,"1,160",52.6,"109,410",56.18,"116,866",41.24,"85,764",40.36,"83,958",79.36,"165,070"
000009,Connecticut,17-1011,"Architects, Except Landscape and Naval","1,110",49.92,"103,833",50.99,"106,045",32.66,"67,924",30.6,"63,646",74.31,"154,561"
000009,Connecticut,17-3011,Architectural and Civil Drafters,"1,170",31.19,"64,881",31.43,"65,370",23.92,"49,741",24.29,"50,510",39.99,"83,189"
000009,Connecticut,17-2031,Bioengineers and Biomedical Engineers,160,48.01,"99,846",50.25,"104,529",39.88,"82,940",39.68,"82,524",63.8,"132,712"
000009,Connecticut,17-3028,Calibration Technologists and Technicians,40,36.01,"74,902",33.23,"69,118",24.56,"51,091",23.39,"48,651",44.35,"92,255"
000009,Connecticut,17-1021,Cartographers and Photogrammetrists,80,41.94,"87,249",42.46,"88,329",31.16,"64,819",28.57,"59,409",55.1,"114,602"
000009,Connecticut,17-2041,Chemical Engineers,230,53.05,"110,355",56.78,"118,101",37.67,"78,360",36.93,"76,803",77.26,"160,688"
000009,Connecticut,17-3022,Civil Engineering Technologists and Technicians,180,33.59,"69,876",37.92,"78,880",23.83,"49,575",21.23,"44,154",48.33,"100,531"
000009,Connecticut,17-2051,Civil Engineers,"3,750",46.11,"95,900",49.25,"102,442",35.38,"73,594",32.81,"68,256",66.54,"138,413"
000009,Connecticut,17-2061,Computer Hardware Engineers,640,69.33,"144,187",65.77,"136,824",41.51,"86,336",38.57,"80,209",84.73,"176,233"
000009,Connecticut,17-3019,"Drafters, All Other",120,25.21,"52,441",29.95,"62,285",20.66,"42,981",18.82,"39,149",48.49,"100,874"
000009,Connecticut,17-3023,Electrical and Electronic Engineering Technologists and Technicians,"1,240",33.71,"70,126",35.59,"74,030",23.85,"49,616",22.42,"46,636",53.06,"110,365"
000009,Connecticut,17-3012,Electrical and Electronics Drafters,460,31.02,"64,528",39.92,"83,033",23.6,"49,087",19.98,"41,548",62.58,"130,158"
000009,Connecticut,17-2071,Electrical Engineers,"2,540",51.96,"108,091",54.37,"113,086",36.67,"76,252",35.89,"74,643",80.5,"167,448"
000009,Connecticut,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,90,33.65,"69,970",33.45,"69,575",25.36,"52,753",24.68,"51,351",41.81,"86,969"
000009,Connecticut,17-2072,"Electronics Engineers, Except Computer","1,690",52.23,"108,641",53.78,"111,871",39.47,"82,088",39.86,"82,898",68.62,"142,733"
000009,Connecticut,17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",440,39.79,"82,774",40.31,"83,854",27.45,"57,093",23.33,"48,536",55.4,"115,235"
000009,Connecticut,17-2199,"Engineers, All Other","2,230",61.2,"127,281",58.92,"122,567",40.21,"83,625",37.03,"77,031",81.25,"168,985"
000009,Connecticut,17-3025,Environmental Engineering Technologists and Technicians,170,21.81,"45,359",25.74,"53,542",19.25,"40,052",18.3,"38,048",32.94,"68,506"
000009,Connecticut,17-2081,Environmental Engineers,390,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
000009,Connecticut,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",140,53.07,"110,386",52.96,"110,157",37.23,"77,426",31.85,"66,242",76.43,"158,964"
000009,Connecticut,17-3026,Industrial Engineering Technologists and Technicians,"1,110",25.93,"53,936",28.61,"59,502",19.44,"40,426",18.56,"38,599",40.23,"83,667"
000009,Connecticut,17-2112,Industrial Engineers,"6,090",49.48,"102,930",49.75,"103,470",35.88,"74,622",33.18,"69,004",67.3,"139,992"
000009,Connecticut,17-1012,Landscape Architects,510,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
000009,Connecticut,17-2131,Materials Engineers,320,50.95,"105,962",53.06,"110,375",38.02,"79,077",37.83,"78,672",78.02,"162,287"
000009,Connecticut,17-3013,Mechanical Drafters,550,30.9,"64,269",33.89,"70,489",24.89,"51,776",24.73,"51,413",46.51,"96,751"
000009,Connecticut,17-3027,Mechanical Engineering Technologists and Technicians,220,36.56,"76,055",40.38,"83,999",25.5,"53,054",23.54,"48,962",57.39,"119,389"
000009,Connecticut,17-2141,Mechanical Engineers,"3,850",49.64,"103,241",50.99,"106,055",36.53,"75,972",34.8,"72,379",68.74,"142,993"
